net,perf,dec_pfc,dec_sr,ret_pfc_intact,ret_sr_intact,ret_pfc_les,ret_sr_les,perf_noPFC,perf_noSR,dec_sr_noPFC,dec_pfc_noSR,frac_long_sr,frac_long_pfc
success_2023-05-01-09-44-09_wcst_41_final_ma,0.92,0.9100000000000001,0.8400000000000001,1.1582748720968699,1.1796302681967141,0.13463079480844317,0.16206603340616166,0.55,0.39,0.49000000000000005,0.5200000000000001,0.2563343392709033,0.263996247608269
success_2023-05-01-09-44-09_wcst_46_final_ma,0.93,0.9100000000000001,0.9,1.0886551677363119,1.4719868783036287,0.1732660289463629,0.20451749806026806,0.46,0.38,0.54,0.54,0.36264404447007587,0.1860010246360211
success_2023-05-01-09-44-09_wcst_18_final_ma,0.89,0.9099999999999999,0.8200000000000001,3.2959024431065065,1.5245714578484146,0.25713715144474525,0.3715420908801385,0.45,0.25,0.47000000000000003,0.51,0.31743590193798044,0.14907360855594534
success_2023-05-01-09-44-09_wcst_83_final_ma,0.93,0.93,0.8799999999999999,1.1056462382822088,0.9974404697236955,0.21424482486261923,0.45648488220770256,0.56,0.38,0.49000000000000005,0.55,0.36577008216962337,0.0512083956565396
success_2023-05-01-09-44-09_wcst_17_final_ma,0.93,0.9200000000000002,0.9,1.1221159766070967,1.4473394870020877,0.1825681792213719,0.23166845727625426,0.46,0.34,0.45,0.55,0.4194826246661105,0.1785634342166443
success_2023-05-01-09-44-09_wcst_49_final_ma,0.93,0.9100000000000001,0.8799999999999999,1.1435208391156164,1.3192151135957215,0.16241651232157697,0.22195149983567183,0.45,0.31,0.52,0.54,0.29430764824493244,0.12457616369493751
success_2023-05-01-09-44-09_wcst_95_final_ma,0.92,0.9099999999999999,0.8100000000000002,1.181830387040812,1.1725995589432667,0.19906098531730557,0.28294139668394946,0.48,0.29,0.52,0.49000000000000005,0.3851766131893253,0.1561193213703529
success_2023-05-01-09-44-09_wcst_63_final_ma,0.93,0.9099999999999999,0.89,1.102449735191301,1.16739101830779,0.13840208244762914,0.1980854273734187,0.56,0.36,0.5700000000000001,0.54,0.3481139915062797,0.1608526413108272
success_2023-05-01-09-44-09_wcst_48_final_ma,0.93,0.9,0.9,1.3225809650927192,0.9302562186359428,0.23446244058259966,0.8418460901809764,0.45,0.23,0.5800000000000001,0.47000000000000003,0.34130310901321353,0.12167866528559401
success_2023-05-01-09-44-09_wcst_93_final_ma,0.93,0.8999999999999998,0.9,1.3385256727370014,1.1542343436164437,0.1479817486414773,0.2979438348474113,0.44,0.25,0.5599999999999999,0.5,0.34989243705031003,0.23483605855818857
success_2023-05-01-09-44-09_wcst_23_final_ma,0.93,0.93,0.85,1.1245638555864077,1.0343423795405402,0.19572467738903626,0.2629263648947402,0.45,0.29,0.51,0.55,0.2794380362657448,0.17797889049505553
success_2023-05-01-09-44-09_wcst_85_final_ma,0.91,0.9000000000000001,0.8700000000000001,0.9939612421559858,1.0369379797277032,0.1771982802716072,0.1958819423010399,0.47,0.3,0.43999999999999995,0.5000000000000001,0.23902270198591535,0.2344768510081093
success_2023-05-01-09-44-09_wcst_40_final_ma,0.93,0.9199999999999999,0.86,1.0959654127602367,1.169463448488092,0.13719439604446404,0.1932525809471133,0.54,0.34,0.56,0.53,0.3360530283511684,0.2444802639057042
success_2023-05-01-09-44-09_wcst_80_final_ma,0.93,0.9400000000000001,0.89,1.2041876217295624,1.087128030528294,0.14012021734309718,0.14327543277011837,0.54,0.29,0.49000000000000005,0.48,0.3034041458303749,0.27616839139397126
success_2023-05-01-09-44-09_wcst_78_final_ma,0.89,0.89,0.76,1.2246510557271644,0.7734585585690418,0.2983268390353586,0.4841619001042834,0.43,0.29,0.5,0.5,0.2720760221736694,0.10853343220349747
success_2023-05-01-09-44-09_wcst_45_final_ma,0.93,0.9200000000000002,0.86,1.323224665337541,1.4949456752902048,0.1758292145057596,0.181862953334035,0.5,0.31,0.39,0.5200000000000001,0.2959541752338359,0.15211476244679564
success_2023-05-01-09-44-09_wcst_96_final_ma,0.93,0.9200000000000002,0.8999999999999998,1.0564301769651046,1.1718828036785425,0.36888150360896477,0.2480573165703006,0.4,0.27,0.43999999999999995,0.52,0.3090850793522803,0.15504617747314384
success_2023-05-01-09-44-09_wcst_77_final_ma,0.92,0.9,0.8400000000000001,1.019192486003554,1.8696784138854845,0.23936842395516486,0.5305575169828533,0.45,0.38,0.55,0.48999999999999994,0.4178734463094549,0.06288103438873152
success_2023-05-01-09-44-09_wcst_29_final_ma,0.92,0.8800000000000001,0.8699999999999999,1.0290446930330852,1.4046316699258334,0.16417056910322536,0.17106684564513933,0.51,0.3,0.51,0.5,0.302257580054699,0.3102405881871266
success_2023-05-01-09-44-09_wcst_88_final_ma,0.91,0.8799999999999999,0.9,1.0068579755557028,1.423186586166585,0.1782545145244148,0.21542589436302403,0.48,0.32,0.4800000000000001,0.52,0.3328387853304189,0.1990055004716183
success_2023-05-01-09-44-09_wcst_69_final_ma,0.93,0.9100000000000001,0.86,1.2061170202376785,1.2282393282027457,0.16199783490126524,0.20146323452156784,0.52,0.27,0.44000000000000006,0.53,0.2646468057271357,0.1894266868643292
success_2023-05-01-09-44-09_wcst_91_final_ma,0.74,0.89,0.78,0.9043808621315295,0.6442582353915476,0.3200961313248198,0.4046224189212523,0.45,0.44,0.54,0.52,0.3128408831533513,0.17027605307616472
success_2023-05-01-09-44-09_wcst_38_final_ma,0.89,0.8700000000000001,0.79,1.1168582096771398,1.1374707722500128,0.2571136099241403,0.28107225164269456,0.47,0.28,0.53,0.48,0.2602151056450615,0.20431298881728857
success_2023-05-01-09-44-09_wcst_87_final_ma,0.93,0.9100000000000001,0.8700000000000001,1.0758128870446204,0.9937569337153859,0.16335985467212852,0.17130293593513024,0.57,0.27,0.51,0.51,0.27373094314701707,0.21949098364756356
success_2023-05-01-09-44-09_wcst_66_final_ma,0.93,0.9200000000000002,0.8699999999999999,1.1364898661877398,1.2080919789418372,0.16971904294276738,0.19220491775881693,0.52,0.33,0.42000000000000004,0.5,0.3029644456192373,0.1575821484234377
success_2023-05-01-09-44-09_wcst_68_final_ma,0.85,0.7699999999999999,0.8,0.3137630275683781,0.36056981293592816,0.21906171850630426,0.2488872821188375,0.45,0.33,0.48999999999999994,0.45,0.3163285495953334,0.1989920074160931
success_2023-05-01-09-44-09_wcst_55_final_ma,0.95,0.9200000000000002,0.9199999999999999,2.422253427494307,3.2369204487615004,0.5778957871262838,0.874678190963654,0.47,0.27,0.53,0.45999999999999996,0.28185047096362364,0.2668078075881048
success_2023-05-01-09-44-09_wcst_89_final_ma,0.93,0.9400000000000001,0.8400000000000001,1.0157395785453756,0.8938929075573019,0.23568593591301984,0.255526875885681,0.47,0.33,0.42000000000000004,0.52,0.3242481396883848,0.21217807118570842
success_2023-05-01-09-44-09_wcst_90_final_ma,0.93,0.9,0.8799999999999999,1.042315179478259,1.3808102891009912,0.22118918478746724,0.2865166230455852,0.46,0.33,0.5,0.5700000000000001,0.25396698672390955,0.33607435018560833
success_2023-05-01-09-44-09_wcst_39_final_ma,0.93,0.93,0.8699999999999999,1.1032436928927125,1.237787613331395,0.17025327193662254,0.21464069743057665,0.47,0.32,0.45999999999999996,0.51,0.3720348310560581,0.2032620904918433
success_2023-05-01-09-44-09_wcst_43_final_ma,0.93,0.93,0.86,1.1295817438185545,1.223851121592508,0.2529737401644067,1.1232913871348642,0.58,0.37,0.5000000000000001,0.43999999999999995,0.3319571336489878,0.08978445495967276
