name,regime,dend_nonlin,dend_type,srsst_sparsity,n_sr_esoma,n_pfc_esoma,trial_end,batch_size,test_perf,test_perf_rule,torch_seed
success_2024-01-02-14-42-38_wcst_77_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.9065,0.911,16
success_2023-05-01-09-44-09_wcst_166_final_maybe,fast_main,divisive_2,additive,0.6,70,70,2100,10,0.95,0.95,5
success_2023-05-10-14-28-42_wcst_60_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.955,0.955,9
success_2023-05-10-14-28-42_wcst_6_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.95,0.95,5
success_2023-05-01-09-44-09_wcst_142_final_maybe,fast_main,divisive_2,additive,0.4,70,70,2100,10,0.955,0.955,1
success_2024-01-02-14-42-38_wcst_48_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.8385,0.844,7
success_2023-12-22-16-37-35_wcst_14_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.8085,0.8345,3
success_2023-05-10-14-28-42_wcst_116_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.955,0.955,15
success_2023-05-10-14-28-42_wcst_10_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.95,0.95,9
success_2023-05-01-09-44-09_wcst_137_final_maybe,fast_main,divisive_2,additive,0.2,70,70,2100,10,0.95,0.95,6
success_2024-01-04-12-22-50_wcst_8_early_stopping_var_iti,var_iti,subtractive,additive,0.0,70,70,2100,10,0.843,0.8535,2
success_2024-01-02-14-42-38_wcst_72_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.8775,0.8645,11
success_2023-05-10-14-28-42_wcst_87_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.95,0.95,36
success_2023-05-10-14-28-42_wcst_112_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,11
success_2023-05-10-14-28-42_wcst_105_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,4
success_2024-01-02-14-42-38_wcst_23_early_stopping_correct2,slow_earlystop,subtractive,additive,0.0,70,70,2100,10,0.9105,0.906,2
success_2024-01-04-12-22-50_wcst_18_early_stopping_var_iti,var_iti,divisive_2,additive,0.0,70,70,2100,10,0.8765,0.8995,2
success_2023-05-01-09-44-09_wcst_41_final_maybe,fast_main,subtractive,additive,0.4,70,70,2100,10,0.955,0.955,0
success_2023-05-01-09-44-09_wcst_46_final_maybe,fast_main,subtractive,additive,0.4,70,70,2100,10,0.95,0.95,5
success_2023-05-10-14-28-42_wcst_115_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,14
success_2023-05-01-09-44-09_wcst_153_final_maybe,fast_main,divisive_2,additive,0.4,70,70,2100,10,0.95,0.95,2
success_2024-01-04-12-22-50_wcst_13_early_stopping_var_iti,var_iti,divisive_2,additive,0.0,70,70,2100,10,0.8275,0.826,2
success_2023-12-22-16-37-35_wcst_2_early_stopping_correct2,slow_earlystop,subtractive,additive,0.0,70,70,2100,10,0.901,0.8965,1
success_2024-01-04-12-22-50_wcst_3_early_stopping_var_iti,var_iti,subtractive,additive,0.0,70,70,2100,10,0.8185,0.9055,2
success_2023-05-10-14-28-42_wcst_93_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.954,0.954,42
success_2023-05-10-14-28-42_wcst_106_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.955,0.955,5
success_2023-05-01-09-44-09_wcst_18_final_maybe,fast_main,subtractive,additive,0.0,70,70,2100,10,0.95,0.95,7
success_2023-05-01-09-44-09_wcst_83_final_maybe,fast_main,subtractive,additive,0.8,70,70,2100,10,0.955,0.955,2
success_2023-05-01-09-44-09_wcst_130_final_maybe,fast_main,divisive_2,additive,0.2,70,70,2100,10,0.955,0.955,9
success_2023-05-10-14-28-42_wcst_17_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.955,0.955,16
success_2023-05-01-09-44-09_wcst_199_final_maybe,fast_main,divisive_2,additive,0.8,70,70,2100,10,0.95,0.95,8
success_2023-05-10-14-28-42_wcst_172_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,21
success_2023-05-01-09-44-09_wcst_17_final_maybe,fast_main,subtractive,additive,0.0,70,70,2100,10,0.955,0.955,6
success_2023-05-10-14-28-42_wcst_165_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,14
success_2023-05-01-09-44-09_wcst_145_final_maybe,fast_main,divisive_2,additive,0.4,70,70,2100,10,0.955,0.955,4
success_2023-05-10-14-28-42_wcst_63_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.95,0.95,12
success_2023-05-10-14-28-42_wcst_176_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.955,0.955,25
success_2023-05-01-09-44-09_wcst_49_final_maybe,fast_main,subtractive,additive,0.4,70,70,2100,10,0.955,0.955,8
