net,n_pv_total,perf_pv0,div_pv0,dec_pv0,perf_pv2,div_pv2,dec_pv2,perf_pv5,div_pv5,dec_pv5,perf_pv10,div_pv10,dec_pv10,perf_pv15,div_pv15,dec_pv15,perf_pv20,div_pv20,dec_pv20,perf_sst,div_sst,perf_vip,div_vip
success_2023-05-01-09-44-09_wcst_100_final_maybe.zip,20,0.92,0.0,0.8799999999999999,0.89,0.0,0.85,0.7,0.0,0.55,0.37,0.0,0.5599999999999999,0.39,0.0,0.6,0.0,0.98,,0.37,0.0,0.91,0.0
success_2023-05-01-09-44-09_wcst_17_final_maybe.zip,20,0.93,0.0,0.9099999999999999,0.93,0.0,0.9099999999999999,0.93,0.0,0.9199999999999999,0.55,0.0,0.6,0.01,0.98,,0.0,0.98,,0.03,0.89,0.93,0.0
success_2023-05-01-09-44-09_wcst_18_final_maybe.zip,20,0.89,0.0,0.9,0.92,0.0,0.9200000000000002,0.67,0.0,0.7,0.57,0.0,0.5900000000000001,0.01,0.96,,0.0,0.98,,0.29,0.0,0.91,0.0
success_2023-05-01-09-44-09_wcst_23_final_maybe.zip,20,0.93,0.0,0.9099999999999999,0.93,0.0,0.9199999999999999,0.93,0.0,0.9099999999999999,0.67,0.0,0.6900000000000001,0.44,0.0,0.5599999999999999,0.0,0.98,,0.29,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_29_final_maybe.zip,20,0.92,0.0,0.89,0.91,0.0,0.8699999999999999,0.45,0.0,0.5700000000000001,0.45,0.0,0.53,0.03,0.95,,0.0,0.98,,0.22,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_38_final_maybe.zip,20,0.89,0.0,0.82,0.86,0.0,0.8300000000000001,0.87,0.0,0.8400000000000001,0.54,0.0,0.53,0.0,0.97,,0.0,0.98,,0.01,0.9299999999999999,0.89,0.0
success_2023-05-01-09-44-09_wcst_39_final_maybe.zip,20,0.93,0.0,0.9200000000000002,0.93,0.0,0.9200000000000002,0.93,0.0,0.9200000000000002,0.53,0.0,0.6300000000000001,0.02,0.97,,0.0,0.98,,0.38,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_40_final_maybe.zip,20,0.93,0.0,0.9099999999999999,0.92,0.0,0.8899999999999999,0.86,0.0,0.76,0.46,0.0,0.62,0.01,0.97,,0.0,0.99,,0.31,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_41_final_maybe.zip,20,0.92,0.0,0.9099999999999999,0.9,0.0,0.8799999999999999,0.56,0.0,0.6499999999999999,0.46,0.0,0.54,0.02,0.97,,0.0,0.98,,0.43,0.0,0.92,0.0
success_2023-05-01-09-44-09_wcst_43_final_maybe.zip,20,0.93,0.0,0.9099999999999999,0.93,0.0,0.9099999999999999,0.93,0.0,0.9099999999999999,0.45,0.0,0.52,0.05,0.78,0.77,0.0,0.98,,0.33,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_45_final_maybe.zip,20,0.93,0.0,0.9099999999999999,0.91,0.0,0.9,0.8,0.0,0.79,0.47,0.0,0.6399999999999999,0.0,0.95,,0.0,0.98,,0.39,0.0,0.94,0.0
success_2023-05-01-09-44-09_wcst_46_final_maybe.zip,20,0.93,0.0,0.9200000000000002,0.93,0.0,0.9099999999999999,0.87,0.0,0.82,0.75,0.0,0.62,0.46,0.0,0.59,0.0,0.97,,0.38,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_48_final_maybe.zip,20,0.93,0.0,0.8799999999999999,0.62,0.0,0.61,0.5,0.0,0.5800000000000001,0.44,0.0,0.5,0.0,0.98,,0.02,0.98,,0.33,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_49_final_maybe.zip,20,0.93,0.0,0.9099999999999999,0.93,0.0,0.9099999999999999,0.66,0.0,0.67,0.44,0.0,0.55,0.03,0.95,,0.0,0.98,,0.41,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_55_final_maybe.zip,20,0.95,0.0,0.9400000000000001,0.94,0.0,0.93,0.88,0.0,0.86,0.4,0.0,0.48,0.01,0.98,,0.0,0.99,,0.04,0.83,0.95,0.0
success_2023-05-01-09-44-09_wcst_63_final_maybe.zip,20,0.93,0.0,0.9200000000000002,0.93,0.0,0.9100000000000001,0.71,0.0,0.7,0.47,0.0,0.5900000000000001,0.01,0.97,,0.0,0.98,,0.3,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_66_final_maybe.zip,20,0.93,0.0,0.9099999999999999,0.46,0.0,0.73,0.45,0.0,0.77,0.58,0.0,0.55,0.45,0.0,0.5,0.0,0.98,,0.27,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_68_final_maybe.zip,20,0.85,0.0,0.7699999999999999,0.87,0.0,0.82,0.55,0.0,0.5700000000000001,0.46,0.0,0.5,0.01,0.98,,0.01,0.98,,0.09,0.78,0.89,0.0
success_2023-05-01-09-44-09_wcst_69_final_maybe.zip,20,0.93,0.0,0.9200000000000002,0.93,0.0,0.9200000000000002,0.45,0.0,0.64,0.44,0.0,0.5800000000000001,0.02,0.95,,0.0,0.98,,0.33,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_77_final_maybe.zip,20,0.92,0.0,0.9,0.92,0.0,0.9,0.89,0.0,0.85,0.4,0.0,0.6,0.01,0.98,,0.0,0.99,,0.33,0.0,0.92,0.0
success_2023-05-01-09-44-09_wcst_78_final_maybe.zip,20,0.89,0.0,0.86,0.65,0.0,0.58,0.64,0.0,0.62,0.5,0.0,0.52,0.37,0.0,0.5700000000000001,0.02,0.97,,0.36,0.0,0.89,0.0
success_2023-05-01-09-44-09_wcst_79_final_maybe.zip,20,0.9,0.0,0.8699999999999999,0.82,0.0,0.73,0.45,0.0,0.5,0.52,0.0,0.4600000000000001,0.02,0.98,,0.0,0.99,,0.15,0.53,0.9,0.0
success_2023-05-01-09-44-09_wcst_80_final_maybe.zip,20,0.93,0.0,0.93,0.92,0.0,0.9,0.47,0.0,0.6,0.34,0.0,0.5600000000000002,0.01,0.98,,0.0,0.99,,0.52,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_81_final_maybe.zip,20,0.93,0.0,0.9099999999999999,0.93,0.0,0.9099999999999999,0.45,0.0,0.58,0.45,0.0,0.52,0.0,0.98,,0.02,0.98,,0.29,0.0,0.93,0.0
success_2023-05-01-09-44-09_wcst_83_final_maybe.zip,20,0.93,0.0,0.9099999999999999,0.93,0.0,0.9099999999999999,0.93,0.0,0.9099999999999999,0.42,0.0,0.53,0.54,0.0,0.54,0.0,0.98,,0.37,0.0,0.93,0.0
