net,sparsity,dend,ang_intact,ang_sst,ang_pv,ang_vip,ang_randE,perf_intact,perf_sst,perf_pv,perf_vip,perf_randE,div_sst,div_pv,div_vip,div_randE
success_2023-05-01-09-44-09_wcst_41_final_ma,0.4,subtractive,72.08086395263672,31.00092887878418,22.78542137145996,65.62814331054688,57.4421272277832,0.92,0.45,0.33,0.92,0.47,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_46_final_ma,0.4,subtractive,86.51377868652344,6.405152320861816,19.033998489379883,86.5082778930664,86.78057098388672,0.93,0.38,0.38,0.93,0.93,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_18_final_ma,0.0,subtractive,89.54802703857422,11.691620826721191,,89.62205505371094,31.107559204101562,0.89,0.29,0.0,0.89,0.54,0.0,0.96,0.0,0.0
success_2023-05-01-09-44-09_wcst_83_final_ma,0.8,subtractive,87.36314392089844,50.60080337524414,,87.41630554199219,88.5770034790039,0.93,0.37,0.0,0.93,0.83,0.0,0.96,0.0,0.0
success_2023-05-01-09-44-09_wcst_17_final_ma,0.0,subtractive,85.68769836425781,46.391204833984375,1.0033512115478516,85.97342681884766,76.95668029785156,0.93,0.43,0.38,0.93,0.75,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_49_final_ma,0.4,subtractive,88.85790252685547,16.693622589111328,1.0038810968399048,89.456787109375,86.19969940185547,0.93,0.4,0.38,0.93,0.73,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_95_final_ma,0.8,subtractive,82.45750427246094,24.495502471923828,,82.53814697265625,19.060087203979492,0.92,0.37,0.5,0.92,0.83,0.0,0.94,0.0,0.0
success_2023-05-01-09-44-09_wcst_63_final_ma,0.6000000000000001,subtractive,79.38706970214844,32.27264404296875,,79.5447998046875,37.38356018066406,0.93,0.42,0.625,0.93,0.79,0.0,0.92,0.0,0.0
success_2023-05-01-09-44-09_wcst_48_final_ma,0.4,subtractive,87.05702209472656,20.601762771606445,1.8050907850265503,87.12934112548828,85.73960876464844,0.93,0.38,0.29,0.93,0.83,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_93_final_ma,0.8,subtractive,89.11154174804688,26.503875732421875,,89.12329864501953,89.96043395996094,0.93,0.37,0.4,0.93,0.93,0.0,0.9,0.0,0.0
success_2023-05-01-09-44-09_wcst_23_final_ma,0.2,subtractive,87.59978485107422,16.236377716064453,58.46349334716797,88.33210754394531,81.74942016601562,0.93,0.29,0.42,0.93,0.73,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_85_final_ma,0.8,subtractive,81.78177642822266,47.944557189941406,1.951931357383728,81.76509857177734,21.280059814453125,0.91,0.36,0.29,0.91,0.49,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_40_final_ma,0.2,subtractive,66.04135131835938,8.723999977111816,21.111202239990234,79.22489929199219,82.07020568847656,0.93,0.34,0.43,0.93,0.83,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_80_final_ma,0.6000000000000001,subtractive,89.35018157958984,14.354043006896973,0.820959746837616,84.68882751464844,81.7662353515625,0.93,0.4,0.33,0.93,0.68,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_78_final_ma,0.6000000000000001,subtractive,67.10424041748047,18.600173950195312,,61.9521484375,42.012081146240234,0.89,0.27,0.2,0.89,0.6,0.0,0.95,0.0,0.0
success_2023-05-01-09-44-09_wcst_45_final_ma,0.4,subtractive,88.1774673461914,16.40035629272461,1.870147705078125,82.90980529785156,11.499035835266113,0.93,0.26,0.4,0.94,0.47,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_96_final_ma,0.8,subtractive,86.36858367919922,14.19717025756836,1.5666286945343018,86.40614318847656,65.65929412841797,0.93,0.29,0.29,0.93,0.83,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_77_final_ma,0.6000000000000001,subtractive,87.4248046875,54.916194915771484,4.160736083984375,87.46031188964844,78.6786880493164,0.92,0.33,0.35,0.92,0.75,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_29_final_ma,0.2,subtractive,84.23261260986328,14.681355476379395,21.146533966064453,87.01763916015625,59.60554885864258,0.92,0.28,0.37,0.93,0.86,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_88_final_ma,0.8,subtractive,58.091896057128906,10.94370174407959,5.799544811248779,30.871166229248047,67.8419189453125,0.91,0.33,0.29,0.88,0.92,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_69_final_ma,0.6000000000000001,subtractive,84.15523529052734,34.614227294921875,28.4034366607666,82.63978576660156,89.0491943359375,0.93,0.33,0.43,0.93,0.91,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_91_final_ma,0.8,subtractive,78.72222137451172,20.104656219482422,,79.2515640258789,78.68282318115234,0.74,0.46,0.16666666666666666,0.74,0.52,0.0,0.94,0.0,0.0
success_2023-05-01-09-44-09_wcst_38_final_ma,0.2,subtractive,77.66896057128906,19.496421813964844,19.331518173217773,79.75607299804688,76.29528045654297,0.89,0.25,0.38,0.89,0.62,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_87_final_ma,0.8,subtractive,87.52772521972656,12.34693431854248,,87.4575424194336,2.202378273010254,0.93,0.33,0.375,0.93,0.52,0.0,0.92,0.0,0.0
success_2023-05-01-09-44-09_wcst_66_final_ma,0.6000000000000001,subtractive,88.84308624267578,13.452717781066895,10.601313591003418,89.90108489990234,87.9709701538086,0.93,0.32,0.38,0.93,0.93,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_68_final_ma,0.6000000000000001,subtractive,87.03904724121094,13.073494911193848,1.6821746826171875,87.112548828125,88.8286361694336,0.85,0.38,0.36,0.85,0.81,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_55_final_ma,0.4,subtractive,81.15324401855469,65.00594329833984,0.6874018311500549,80.80626678466797,43.52117919921875,0.95,0.4,0.39,0.95,0.7,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_89_final_ma,0.8,subtractive,83.46949005126953,54.316802978515625,1.3123530149459839,83.43917083740234,73.94631958007812,0.93,0.33,0.34,0.93,0.69,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_90_final_ma,0.8,subtractive,88.58499908447266,12.61008071899414,1.773998737335205,86.33434295654297,86.36896514892578,0.93,0.33,0.33,0.92,0.93,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_39_final_ma,0.2,subtractive,89.11595916748047,32.73736572265625,,89.42494201660156,76.56887817382812,0.93,0.29,0.5,0.93,0.78,0.0,0.96,0.0,0.0
success_2023-05-01-09-44-09_wcst_43_final_ma,0.4,subtractive,89.44715118408203,23.184764862060547,2.0624988079071045,88.66484069824219,89.99999237060547,0.93,0.28,0.38,0.93,0.81,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_86_final_ma,0.8,subtractive,89.05850219726562,8.114036560058594,2.034475803375244,89.18818664550781,87.60337829589844,0.93,0.31,0.38,0.93,0.89,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_81_final_ma,0.8,subtractive,84.90003204345703,31.27342987060547,1.5793441534042358,77.85192108154297,84.90095520019531,0.93,0.28,0.31,0.93,0.45,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_79_final_ma,0.6000000000000001,subtractive,86.81714630126953,49.49868392944336,1.488766074180603,88.30811309814453,89.185302734375,0.9,0.33,0.38,0.89,0.8,0.0,0.0,0.0,0.0
success_2023-05-01-09-44-09_wcst_98_final_ma,0.8,subtractive,68.93344116210938,68.65592956542969,11.135087966918945,65.43772888183594,81.27617645263672,0.82,0.43,0.5,0.84,0.75,0.0,0.0,0.0,0.0
